No,Ionizable lipid,Helper lipid,Cholesterol,PEG,Additional component,,Organ,,Ionizable lipid(S),Helper lipid(S),Cholesterol(S),PEG(S),Additional component(S),,,,Ionizable lipid(M),Helper lipid(M),Cholesterol(M),PEG(M),Additional component(M)
224,a12Dab3,DSPC,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CC[C@@H](C(=O)N)NC(=O)[C@H](CCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)[C@H](CCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
225,a12Dab4,DSPC,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CC[C@@H](C(=O)N)NC(=O)[C@H](CCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)[C@H](CCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)[C@H](CCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
226,a12Dab5,DSPC,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CC[C@@H](C(=O)N[C@@H](CCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N[C@@H](CCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N[C@@H](CCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N[C@@H](CCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
227,a12Dap1,DSPC,cholesterol,DMG-PEG2000,\,,None,,CCCCCCCCCCCCN(CCCCCCCCCCCC)C[C@@H](C(=O)N)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
228,a12Dap2,DSPC,cholesterol,DMG-PEG2000,\,,None,,CCCCCCCCCCCCN(CCCCCCCCCCCC)C[C@@H](C(=O)N)NC(=O)[C@H](CN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
229,a12Dap3,DSPC,cholesterol,DMG-PEG2000,\,,None,,CCCCCCCCCCCCN(CCCCCCCCCCCC)C[C@@H](C(=O)N)NC(=O)[C@H](CN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)[C@H](C[N+](C)(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
230,a12Dap4,DSPC,cholesterol,DMG-PEG2000,\,,None,,CCCCCCCCCCCCN(CCCCCCCCCCCC)C[C@@H](C(=O)N)NC(=O)[C@H](CN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)[C@H](CN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)[C@H](CN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
231,a12Dap5,DSPC,cholesterol,DMG-PEG2000,\,,None,,CCCCCCCCCCCC[N+](CCCCCCCCCCCC)(CCCCCCCCCCCC)C[C@@H](C(=O)N[C@@H](C[N+](CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N[C@@H](C[N+](CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N[C@@H](C[N+](CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
232,a12Orn1,DSPC,cholesterol,DMG-PEG2000,\,,None,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCC[C@@H](C(=O)N)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
233,a12Orn2,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCC[C@@H](C(=O)N)NC(=O)[C@H](CCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
234,a12Orn3,DSPC,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCC[C@@H](C(=O)N)NC(=O)[C@H](CCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)[C@H](CCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
235,a12Orn4,DSPC,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCC[C@@H](C(=O)N[C@@H](CCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N[C@@H](CCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N[C@@H](CCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
236,a12Orn5,DSPC,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCC[C@@H](C(=O)N[C@@H](CCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N[C@@H](CCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N[C@@H](CCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N)NC(=O)[C@H](CCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
237,a12k2-ca,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCC[C@@H](C(=O)N[C@@H](CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)O)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
238,a12k2d-ca,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCC[C@@H](C(=O)N[C@@H](CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
239,a12k2d2-ca,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
240,a12k2d3-ca,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCC[C@@H](C(=O)N[C@@H](CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N/C(=C/C(=O)O)/C(=O)O)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
241,a12k2e-ca,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCC[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)O)NC(=O)[C@H](CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
242,a12k2e2-ca,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCC[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O)NC(=O)[C@H](CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
243,a12k2e3-ca,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCC[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O)NC(=O)[C@H](CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
244,a12k4-ca,DSPC,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCC[C@@H](C(=O)N[C@@H](CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N[C@@H](CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)N[C@@H](CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)O)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
245,aa12k2,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)[C@H](C)NC(=O)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
246,aam12k1,DSPC,cholesterol,DMG-PEG2000,\,,None,,CCCCCCCCCCCCNC(=O)CCN(CCCC[C@@H](C(=O)N)NC(=O)C)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
247,aam12k2,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCNC(=O)CCN(CCCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)NC(=O)C)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
248,aam12k3,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCNC(=O)CCN(CCCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)NC(=O)[C@H](CCCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)NC(=O)C)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
249,aam12k4,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCNC(=O)CCN(CCCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)NC(=O)[C@H](CCCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)NC(=O)[C@H](CCCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)NC(=O)C)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
250,aam12k5,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCNC(=O)CCCCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)N[C@@H](CCCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)C(=O)N[C@@H](CCCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)C(=O)N[C@@H](CCCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)C(=O)N[C@@H](CCCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)C(=O)N,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
251,aat12k1,DSPC,cholesterol,DMG-PEG2000,\,,None,,CCCCCCCCCCCCOC(=O)CCN(CCCC[C@@H](C(=O)N)NC(=O)C)CCC(=O)OCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
252,aat12k2,DSPC,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCCCNC(=O)CCN(CCCC[C@@H](C(=O)N[C@@H](CCCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)C(=O)N)NC(=O)C)CCC(=O)OCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
253,aat12k3,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCOC(=O)CCN(CCCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)NC(=O)[C@H](CCCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)NC(=O)C)CCC(=O)OCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
254,aat12k4,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCOC(=O)CCN(CCCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)NC(=O)[C@H](CCCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)NC(=O)[C@H](CCCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)NC(=O)C)CCC(=O)OCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
255,aat12k5,DSPC,cholesterol,DMG-PEG2000,\,,Spleen,,CCCCCCCCCCCCOC(=O)CCN(CCCC[C@@H](C(=O)N[C@@H](CCCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)C(=O)N[C@@H](CCCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)C(=O)N[C@@H](CCCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)C(=O)N[C@@H](CCCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)C(=O)N)NC(=O)C)CCC(=O)OCC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
256,am-a12k2-ca,DSPC,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCC[C@@H](C(=O)N[C@@H](CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(=O)O)N,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46.3,9.4,42.7,1.6,0
