No,Ionizable lipid,Helper lipid,Cholesterol,PEG,Additional component,,Organ,,Ionizable lipid(S),Helper lipid(S),Cholesterol(S),PEG(S),Additional component(S),,,,Ionizable lipid(M),Helper lipid(M),Cholesterol(M),PEG(M),Additional component(M)
29,9A1P9,DDAB,cholesterol,DMG-PEG2000,\,,Lung,,CCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-],C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,46,23,30.7,0.3,0
30,9A1P9,MDOA,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
31,10A1P9,MDOA,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCC[N+](CCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
32,11A1P9,MDOA,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCC[N+](CCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
33,9A1P10,MDOA,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
34,10A1P10,MDOA,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
35,11A1P10,MDOA,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCC[N+](CCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
36,9A1P11,MDOA,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
37,10A1P11,MDOA,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
38,11A1P11,MDOA,cholesterol,DMG-PEG2000,\,,Liver,,CCCCCCCCCCCOP(=O)([O-])OCC[N+](CCCCCCCCCCC)CCCCCCCCCCC,CCCCCCCCCCCCCCCCCCN(C)CCCCCCCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COCCOC)OC(=O)CCCCCCCCCCCCC,\,,,,29.1,34.9,34.9,1.1,0
